,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20170712,13800,13800,13500,13650,37515
20170711,13900,13900,13500,13600,56656
20170710,14000,14000,13700,13750,68890
20170707,14150,14150,13800,14000,73110
20170706,14100,14300,13950,14150,79742
20170705,13700,14200,13700,14200,143088
20170704,13200,14100,13200,13700,352205
20170703,14100,14100,13100,13100,203207
20170630,14000,14300,13900,14000,117274
20170629,13900,14300,13850,14150,113340
20170628,14100,14300,13800,13800,168377
20170627,14500,14500,14100,14200,215838
20170626,13800,14600,13800,14500,379697
20170623,13300,13900,13100,13750,231846
20170622,13400,13500,13300,13350,71756
20170621,13250,13500,12950,13450,129153
20170620,13350,13350,13050,13250,144517
20170619,13000,13450,12850,13200,152997
20170616,13050,13100,12650,12800,160522
20170615,13300,13300,12950,13050,104550
20170614,13500,13500,13200,13250,85440
20170613,13200,13350,13150,13300,75230
20170612,13500,13550,13150,13250,90949
20170609,13350,13600,13150,13600,134010
20170608,13650,13650,13250,13300,156085
20170607,13700,13700,13350,13600,145615
20170605,13550,13650,13400,13600,95224
20170602,13450,13550,13250,13400,74267
20170601,13050,13550,12900,13400,192486
20170531,13450,13650,12850,12850,351093
20170530,13000,13600,13000,13550,190560
20170529,13700,13700,13000,13050,186638
20170526,13550,13650,13400,13600,89174
20170525,13650,13650,13350,13550,123290
20170524,14200,14200,13550,13550,154686
20170523,13900,14000,13850,14000,123745
20170522,14100,14150,13750,13900,167983
20170519,13950,14000,13650,13850,109078
20170518,13700,13900,13550,13900,156301
20170517,13800,14150,13700,13850,198652
20170516,14350,14350,13700,13800,268955
20170515,13950,14400,13950,14400,302785
20170512,14500,14500,14000,14300,368772
20170511,14800,14800,14250,14350,598742
20170510,14850,15100,14500,14900,549403
20170508,14250,14600,14000,14600,1074023
20170504,12900,14400,12850,14150,3678002
20170502,12350,12750,11950,12150,666356
20170428,11650,11750,11500,11700,125127
20170427,11700,11750,11450,11550,115767
20170426,11600,11650,11550,11550,63157
20170425,11350,11550,11350,11550,68953
20170424,11600,11700,11300,11350,106695
20170421,11750,11750,11550,11550,122188
20170420,11550,11700,11450,11700,117934
20170419,11500,11700,11400,11500,113085
20170418,11600,11700,11350,11500,131337
20170417,11700,11750,11500,11650,97136
20170414,11950,11950,11550,11550,83049
20170413,11750,12050,11750,11900,90779
20170412,11650,11900,11650,11750,82725
20170411,11650,11850,11450,11700,104138
20170410,12200,12250,11600,11650,213313
20170407,12300,12350,12100,12200,82809
20170406,12200,12450,12100,12250,222670
